tipo_prestacion,fecha_ingreso,hora_ingreso,domicilio_barrio,mes
DENUNCIA,01/01/2021,11:39:02,PALERMO,01
DENUNCIA,01/01/2021,18:59:57,BELGRANO,01
DENUNCIA,01/01/2021,15:53:23,VILLA CRESPO,01
DENUNCIA,01/01/2021,19:46:24,AGRONOMIA,01
DENUNCIA,01/01/2021,16:13:13,RECOLETA,01
DENUNCIA,01/01/2021,12:41:35,PALERMO,01
DENUNCIA,01/01/2021,00:33:01,ALMAGRO,01
DENUNCIA,02/01/2021,22:55:48,PALERMO,01
DENUNCIA,02/01/2021,12:33:16,PALERMO,01
DENUNCIA,02/01/2021,02:57:00,PALERMO,01
DENUNCIA,02/01/2021,01:20:11,COGHLAN,01
DENUNCIA,02/01/2021,23:38:03,PALERMO,01
DENUNCIA,02/01/2021,23:40:05,PALERMO,01
DENUNCIA,02/01/2021,23:42:16,PALERMO,01
DENUNCIA,02/01/2021,23:00:41,PALERMO,01
DENUNCIA,02/01/2021,02:04:33,PALERMO,01
DENUNCIA,02/01/2021,10:45:36,BOCA,01
DENUNCIA,02/01/2021,09:38:42,PATERNAL,01
DENUNCIA,03/01/2021,16:46:21,PALERMO,01
DENUNCIA,03/01/2021,02:30:19,PALERMO,01
DENUNCIA,03/01/2021,03:07:25,ALMAGRO,01
DENUNCIA,03/01/2021,12:19:21,PARQUE CHACABUCO,01
DENUNCIA,04/01/2021,15:01:45,SAN TELMO,01
DENUNCIA,04/01/2021,14:26:18,FLORES,01
DENUNCIA,04/01/2021,12:18:05,FLORES,01
DENUNCIA,04/01/2021,07:17:20,BALVANERA,01
DENUNCIA,04/01/2021,13:50:00,BALVANERA,01
DENUNCIA,04/01/2021,01:23:49,PALERMO,01
DENUNCIA,04/01/2021,13:27:23,NUÑEZ,01
DENUNCIA,04/01/2021,09:39:27,PALERMO,01
DENUNCIA,05/01/2021,15:39:39,PALERMO,01
DENUNCIA,05/01/2021,22:47:58,VILLA LURO,01
DENUNCIA,05/01/2021,20:43:43,VILLA CRESPO,01
DENUNCIA,05/01/2021,01:01:17,VILLA CRESPO,01
DENUNCIA,05/01/2021,12:46:26,NUÑEZ,01
DENUNCIA,05/01/2021,12:37:57,NUÑEZ,01
DENUNCIA,05/01/2021,20:49:21,PARQUE PATRICIOS,01
DENUNCIA,05/01/2021,11:51:41,PALERMO,01
DENUNCIA,05/01/2021,16:08:31,SAAVEDRA,01
DENUNCIA,05/01/2021,19:26:33,VILLA CRESPO,01
DENUNCIA,05/01/2021,18:21:12,FLORES,01
DENUNCIA,05/01/2021,06:50:23,NUÑEZ,01
DENUNCIA,05/01/2021,10:31:40,BELGRANO,01
DENUNCIA,05/01/2021,12:33:34,BELGRANO,01
DENUNCIA,06/01/2021,15:39:23,PALERMO,01
DENUNCIA,06/01/2021,00:29:20,ALMAGRO,01
DENUNCIA,06/01/2021,13:54:08,ALMAGRO,01
DENUNCIA,06/01/2021,12:35:13,ALMAGRO,01
DENUNCIA,06/01/2021,14:44:06,MONSERRAT,01
DENUNCIA,06/01/2021,12:50:33,COGHLAN,01
DENUNCIA,06/01/2021,12:50:59,ALMAGRO,01
DENUNCIA,06/01/2021,00:12:18,ALMAGRO,01
DENUNCIA,06/01/2021,00:15:25,MATADEROS,01
DENUNCIA,06/01/2021,00:19:25,COLEGIALES,01
DENUNCIA,06/01/2021,13:52:41,BALVANERA,01
DENUNCIA,06/01/2021,18:39:59,CABALLITO,01
