tipo_prestacion,fecha_ingreso,hora_ingreso,domicilio_barrio,hora
DENUNCIA,01/01/2021,11:39:02,PALERMO,11
DENUNCIA,01/01/2021,18:59:57,BELGRANO,18
DENUNCIA,01/01/2021,15:53:23,VILLA CRESPO,15
DENUNCIA,01/01/2021,19:46:24,AGRONOMIA,19
DENUNCIA,01/01/2021,16:13:13,RECOLETA,16
DENUNCIA,01/01/2021,12:41:35,PALERMO,12
DENUNCIA,01/01/2021,00:33:01,ALMAGRO,00
DENUNCIA,02/01/2021,22:55:48,PALERMO,22
DENUNCIA,02/01/2021,12:33:16,PALERMO,12
DENUNCIA,02/01/2021,02:57:00,PALERMO,02
DENUNCIA,02/01/2021,01:20:11,COGHLAN,01
DENUNCIA,02/01/2021,23:38:03,PALERMO,23
DENUNCIA,02/01/2021,23:40:05,PALERMO,23
DENUNCIA,02/01/2021,23:42:16,PALERMO,23
DENUNCIA,02/01/2021,23:00:41,PALERMO,23
DENUNCIA,02/01/2021,02:04:33,PALERMO,02
DENUNCIA,02/01/2021,10:45:36,BOCA,10
DENUNCIA,02/01/2021,09:38:42,PATERNAL,09
DENUNCIA,03/01/2021,16:46:21,PALERMO,16
DENUNCIA,03/01/2021,02:30:19,PALERMO,02
DENUNCIA,03/01/2021,03:07:25,ALMAGRO,03
DENUNCIA,03/01/2021,12:19:21,PARQUE CHACABUCO,12
DENUNCIA,04/01/2021,15:01:45,SAN TELMO,15
DENUNCIA,04/01/2021,14:26:18,FLORES,14
DENUNCIA,04/01/2021,12:18:05,FLORES,12
DENUNCIA,04/01/2021,07:17:20,BALVANERA,07
DENUNCIA,04/01/2021,13:50:00,BALVANERA,13
DENUNCIA,04/01/2021,01:23:49,PALERMO,01
DENUNCIA,04/01/2021,13:27:23,NUÑEZ,13
DENUNCIA,04/01/2021,09:39:27,PALERMO,09
DENUNCIA,05/01/2021,15:39:39,PALERMO,15
DENUNCIA,05/01/2021,22:47:58,VILLA LURO,22
DENUNCIA,05/01/2021,20:43:43,VILLA CRESPO,20
DENUNCIA,05/01/2021,01:01:17,VILLA CRESPO,01
DENUNCIA,05/01/2021,12:46:26,NUÑEZ,12
DENUNCIA,05/01/2021,12:37:57,NUÑEZ,12
DENUNCIA,05/01/2021,20:49:21,PARQUE PATRICIOS,20
DENUNCIA,05/01/2021,11:51:41,PALERMO,11
DENUNCIA,05/01/2021,16:08:31,SAAVEDRA,16
DENUNCIA,05/01/2021,19:26:33,VILLA CRESPO,19
DENUNCIA,05/01/2021,18:21:12,FLORES,18
DENUNCIA,05/01/2021,06:50:23,NUÑEZ,06
DENUNCIA,05/01/2021,10:31:40,BELGRANO,10
DENUNCIA,05/01/2021,12:33:34,BELGRANO,12
DENUNCIA,06/01/2021,15:39:23,PALERMO,15
DENUNCIA,06/01/2021,00:29:20,ALMAGRO,00
DENUNCIA,06/01/2021,13:54:08,ALMAGRO,13
DENUNCIA,06/01/2021,12:35:13,ALMAGRO,12
DENUNCIA,06/01/2021,14:44:06,MONSERRAT,14
DENUNCIA,06/01/2021,12:50:33,COGHLAN,12
DENUNCIA,06/01/2021,12:50:59,ALMAGRO,12
DENUNCIA,06/01/2021,00:12:18,ALMAGRO,00
DENUNCIA,06/01/2021,00:15:25,MATADEROS,00
DENUNCIA,06/01/2021,00:19:25,COLEGIALES,00
DENUNCIA,06/01/2021,13:52:41,BALVANERA,13
DENUNCIA,06/01/2021,18:39:59,CABALLITO,18
DENUNCIA,06/01/2021,22:50:31,VILLA PUEYRREDON,22
DENUNCIA,06/01/2021,19:10:24,PALERMO,19
DENUNCIA,06/01/2021,12:46:59,ALMAGRO,12
DENUNCIA,07/01/2021,10:46:50,ALMAGRO,10
DENUNCIA,07/01/2021,18:22:18,FLORES,18
DENUNCIA,07/01/2021,15:52:42,VILLA DEVOTO,15
DENUNCIA,07/01/2021,13:40:09,MATADEROS,13
DENUNCIA,07/01/2021,20:07:53,NUEVA POMPEYA,20
DENUNCIA,08/01/2021,13:17:35,BELGRANO,13
DENUNCIA,08/01/2021,11:03:03,VERSALLES,11
DENUNCIA,08/01/2021,11:58:26,SAN TELMO,11
DENUNCIA,08/01/2021,14:18:48,PARQUE AVELLANEDA,14
DENUNCIA,08/01/2021,13:44:25,VILLA CRESPO,13
DENUNCIA,08/01/2021,01:58:41,PALERMO,01
DENUNCIA,08/01/2021,01:06:01,ALMAGRO,01
DENUNCIA,08/01/2021,22:52:39,VILLA CRESPO,22
DENUNCIA,08/01/2021,01:36:12,VILLA LURO,01
DENUNCIA,08/01/2021,01:54:03,PALERMO,01
DENUNCIA,08/01/2021,11:09:06,ALMAGRO,11
DENUNCIA,08/01/2021,12:52:49,SAAVEDRA,12
DENUNCIA,08/01/2021,11:43:36,VILLA URQUIZA,11
DENUNCIA,08/01/2021,10:23:47,PALERMO,10
DENUNCIA,08/01/2021,18:20:55,SAN CRISTOBAL,18
DENUNCIA,08/01/2021,17:13:03,RETIRO,17
DENUNCIA,08/01/2021,19:48:32,COLEGIALES,19
DENUNCIA,08/01/2021,23:41:49,PALERMO,23
DENUNCIA,09/01/2021,09:42:54,PALERMO,09
DENUNCIA,09/01/2021,16:47:00,RECOLETA,16
DENUNCIA,09/01/2021,23:00:47,CHACARITA,23
DENUNCIA,09/01/2021,13:42:29,MATADEROS,13
DENUNCIA,09/01/2021,11:37:34,BALVANERA,11
DENUNCIA,09/01/2021,13:00:17,NUÑEZ,13
DENUNCIA,09/01/2021,14:47:01,VILLA CRESPO,14
DENUNCIA,09/01/2021,13:42:18,VILLA LURO,13
DENUNCIA,09/01/2021,22:54:31,PALERMO,22
DENUNCIA,09/01/2021,08:17:49,PALERMO,08
DENUNCIA,09/01/2021,09:20:27,SAN TELMO,09
DENUNCIA,09/01/2021,11:21:34,BALVANERA,11
DENUNCIA,09/01/2021,21:44:14,PALERMO,21
DENUNCIA,09/01/2021,22:55:22,PALERMO,22
DENUNCIA,09/01/2021,11:02:36,COLEGIALES,11
DENUNCIA,09/01/2021,17:06:57,PALERMO,17
DENUNCIA,10/01/2021,19:38:50,ALMAGRO,19
DENUNCIA,10/01/2021,02:06:14,COLEGIALES,02
DENUNCIA,10/01/2021,12:24:23,VILLA URQUIZA,12
DENUNCIA,10/01/2021,08:34:00,FLORES,08
DENUNCIA,10/01/2021,01:31:57,SAN NICOLAS,01
DENUNCIA,10/01/2021,08:37:30,COGHLAN,08
DENUNCIA,10/01/2021,00:58:48,ALMAGRO,00
DENUNCIA,10/01/2021,09:35:01,LINIERS,09
DENUNCIA,10/01/2021,20:24:21,VILLA URQUIZA,20
DENUNCIA,10/01/2021,16:12:30,SAN NICOLAS,16
DENUNCIA,11/01/2021,00:05:05,PALERMO,00
DENUNCIA,11/01/2021,12:52:19,NUEVA POMPEYA,12
DENUNCIA,11/01/2021,09:58:24,BALVANERA,09
DENUNCIA,11/01/2021,14:10:43,VILLA GRAL. MITRE,14
DENUNCIA,11/01/2021,10:19:36,CABALLITO,10
DENUNCIA,11/01/2021,22:22:34,PALERMO,22
DENUNCIA,11/01/2021,21:48:18,VILLA SANTA RITA,21
DENUNCIA,11/01/2021,12:41:33,FLORES,12
DENUNCIA,11/01/2021,19:11:54,BALVANERA,19
DENUNCIA,11/01/2021,17:07:51,VILLA GRAL. MITRE,17
DENUNCIA,12/01/2021,08:23:40,VILLA URQUIZA,08
DENUNCIA,12/01/2021,16:29:17,BARRACAS,16
DENUNCIA,12/01/2021,12:45:00,CHACARITA,12
