tipo_prestacion,fecha_ingreso,hora_ingreso,domicilio_barrio,mes,hora
DENUNCIA,01/01/2021,11:39:02,PALERMO,1,11
DENUNCIA,01/01/2021,18:59:57,BELGRANO,1,18
DENUNCIA,01/01/2021,15:53:23,VILLA CRESPO,1,15
DENUNCIA,01/01/2021,19:46:24,AGRONOMIA,1,19
DENUNCIA,01/01/2021,16:13:13,RECOLETA,1,16
DENUNCIA,01/01/2021,12:41:35,PALERMO,1,12
DENUNCIA,01/01/2021,00:33:01,ALMAGRO,1,00
DENUNCIA,02/01/2021,22:55:48,PALERMO,1,22
DENUNCIA,02/01/2021,12:33:16,PALERMO,1,12
DENUNCIA,02/01/2021,02:57:00,PALERMO,1,02
DENUNCIA,02/01/2021,01:20:11,COGHLAN,1,01
DENUNCIA,02/01/2021,23:38:03,PALERMO,1,23
DENUNCIA,02/01/2021,23:40:05,PALERMO,1,23
DENUNCIA,02/01/2021,23:42:16,PALERMO,1,23
DENUNCIA,02/01/2021,23:00:41,PALERMO,1,23
DENUNCIA,02/01/2021,02:04:33,PALERMO,1,02
DENUNCIA,02/01/2021,10:45:36,BOCA,1,10
DENUNCIA,02/01/2021,09:38:42,PATERNAL,1,09
DENUNCIA,03/01/2021,16:46:21,PALERMO,1,16
DENUNCIA,03/01/2021,02:30:19,PALERMO,1,02
DENUNCIA,03/01/2021,03:07:25,ALMAGRO,1,03
DENUNCIA,03/01/2021,12:19:21,PARQUE CHACABUCO,1,12
DENUNCIA,04/01/2021,15:01:45,SAN TELMO,1,15
DENUNCIA,04/01/2021,14:26:18,FLORES,1,14
DENUNCIA,04/01/2021,12:18:05,FLORES,1,12
DENUNCIA,04/01/2021,07:17:20,BALVANERA,1,07
DENUNCIA,04/01/2021,13:50:00,BALVANERA,1,13
DENUNCIA,04/01/2021,01:23:49,PALERMO,1,01
DENUNCIA,04/01/2021,13:27:23,NUÑEZ,1,13
DENUNCIA,04/01/2021,09:39:27,PALERMO,1,09
DENUNCIA,05/01/2021,15:39:39,PALERMO,1,15
DENUNCIA,05/01/2021,22:47:58,VILLA LURO,1,22
DENUNCIA,05/01/2021,20:43:43,VILLA CRESPO,1,20
DENUNCIA,05/01/2021,01:01:17,VILLA CRESPO,1,01
DENUNCIA,05/01/2021,12:46:26,NUÑEZ,1,12
DENUNCIA,05/01/2021,12:37:57,NUÑEZ,1,12
DENUNCIA,05/01/2021,20:49:21,PARQUE PATRICIOS,1,20
